V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,hom2004
6,6,0,0,0,2,6,12,17,10,159,0,0,1,1,5,0,1,0,0,0,0,0,0,2,2,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,16,0,0,0,2,0,1,1,0,0,0,0,0,2,3,2,0,5,0,0,0,2,0,0,0,0,0,0,0,0,0,2,2,1,5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,2,1,0,0,0,0,0,4
4,3,0,0,0,1,8,27,17,17,250,0,0,0,2,4,2,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,1,0,0,0,0,0,0,2,1,3,21,0,0,0,0,0,0,2,0,0,0,0,0,1,1,3,1,10,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,1,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,5
5,3,0,0,0,1,6,2,19,17,177,0,1,0,2,8,1,0,0,0,0,0,0,0,1,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,17,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,9,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1,0,9,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
10,4,0,0,0,2,8,1,19,22,297,0,0,1,1,6,3,1,0,0,0,0,0,0,0,1,0,11,1,0,0,0,1,0,2,0,0,0,0,0,1,1,2,0,14,0,0,0,0,0,0,3,1,0,0,0,0,1,0,1,0,11,0,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,19,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,13
13,3,0,0,0,1,11,4,22,21,304,0,0,2,2,9,2,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,6,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,7,0,0,0,0,2,0,1,0,0,0,0,0,0,1,2,2,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
8,4,0,0,0,2,9,3,17,20,184,0,1,0,3,7,1,2,0,0,0,0,0,0,0,1,0,8,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0,2,0,3,1,24,0,0,0,2,1,0,0,0,0,0,0,0,1,0,2,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,4
4,2,0,0,0,1,7,7,26,10,203,0,0,2,3,8,1,1,0,0,0,0,0,0,0,1,0,11,0,0,0,0,0,0,1,1,0,0,0,0,0,0,3,0,16,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,14,0,0,1,2,3,0,1,0,0,0,0,1,0,1,0,0,21,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
9,7,0,0,0,5,9,2,19,19,159,1,1,0,1,11,3,0,0,0,0,0,0,1,1,3,0,11,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,0,7,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,6,0,0,0,2,4,0,0,0,0,0,0,0,0,1,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
6,2,0,0,0,4,10,3,12,17,182,0,1,3,4,10,2,2,0,0,0,0,0,0,0,1,0,9,0,0,0,0,0,0,1,0,0,0,0,0,1,0,2,0,9,0,0,0,0,0,0,1,1,0,0,0,0,2,0,2,0,5,0,0,0,3,1,0,3,0,0,0,0,1,1,0,0,0,6,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
7,3,0,0,0,3,20,2,16,14,206,0,0,2,5,15,3,1,0,0,0,0,0,1,1,1,0,14,0,0,0,0,2,0,1,0,0,0,0,0,0,0,2,1,9,0,0,0,0,1,0,1,0,0,0,0,0,2,0,0,0,6,0,0,0,0,4,1,1,0,0,0,0,0,0,0,5,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2
2,4,1,0,0,3,15,0,23,19,184,0,0,1,7,17,2,0,0,0,0,0,0,3,0,1,0,5,0,0,0,0,0,0,0,1,0,0,0,0,1,1,3,0,23,0,0,0,0,0,0,3,1,0,0,0,0,1,0,0,0,17,0,0,0,1,2,0,0,0,0,0,0,0,1,0,1,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,12
