V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,hom2004
5,4,0,201,40,2,7,7,11,2,171,6,4,2,1,10,28,8,1,2,16,2,0,0,2,1,0,13,0,2,0,1,0,14,7,0,4,52,14,1,0,0,0,0,9,6,2,6,4,2,7,9
9,2,6,164,40,2,6,2,13,3,180,2,14,3,8,23,15,3,0,0,10,2,0,1,1,2,0,8,0,2,1,0,1,4,10,2,2,45,15,0,3,2,6,0,9,6,4,0,2,5,12,6
6,6,1,180,39,1,7,6,15,2,207,4,11,2,2,11,19,5,0,0,14,3,1,0,0,2,0,8,0,2,0,0,0,5,15,0,3,39,3,0,3,0,6,0,16,3,4,3,3,0,5,5
5,2,1,154,49,2,10,3,10,0,148,3,7,5,2,11,13,3,0,0,11,1,0,4,0,4,0,6,2,0,0,0,0,5,13,1,0,34,5,0,0,1,4,0,15,2,2,2,3,4,12,7
7,1,0,254,42,1,8,1,14,1,118,4,16,9,1,5,26,4,0,0,19,3,1,0,1,1,0,21,0,0,0,1,0,11,9,1,0,44,8,2,2,1,9,2,16,3,6,4,4,6,22,4
4,1,0,293,43,5,6,5,14,0,122,4,16,8,4,14,18,8,0,0,13,2,1,0,0,1,0,12,0,1,0,0,0,8,14,0,0,43,10,2,3,1,1,3,13,2,5,1,2,2,9,7
7,4,1,243,57,3,9,6,4,0,151,3,10,12,2,10,22,4,1,0,14,7,0,2,0,3,0,10,0,2,0,1,0,6,15,3,0,59,12,0,0,2,2,0,24,3,7,4,3,1,23,4
4,0,0,236,64,2,20,12,15,0,86,2,17,12,2,10,28,2,0,0,19,4,1,2,2,0,0,7,1,0,0,0,2,10,8,2,0,54,11,0,1,3,1,2,16,3,8,7,4,6,22,7
7,4,0,229,34,3,7,12,8,1,82,2,17,4,5,16,29,4,0,0,14,5,2,0,2,1,0,4,0,3,0,0,1,5,10,0,1,64,15,1,3,4,6,0,21,7,5,3,3,3,15,4
4,4,0,204,47,4,11,4,14,0,129,4,17,9,9,18,15,7,0,0,12,4,1,1,1,0,0,28,0,5,0,1,1,5,17,2,0,52,13,4,0,5,6,2,24,3,7,3,4,3,16,4
4,0,0,229,44,2,8,7,13,3,112,4,15,7,3,3,21,6,2,0,11,7,0,0,1,2,0,13,0,1,1,0,2,4,14,3,0,60,5,2,2,3,4,0,26,1,5,4,1,3,16,6
6,1,0,227,46,3,3,5,11,0,126,2,21,4,4,7,35,2,2,0,11,3,2,0,1,1,0,16,0,0,2,0,0,4,20,4,2,45,8,0,0,4,6,0,18,5,4,1,2,2,13,8
8,3,0,173,44,4,7,3,14,2,113,2,15,3,3,17,29,12,1,0,8,3,0,0,1,2,0,5,0,0,0,1,1,1,17,2,1,51,10,3,1,1,6,1,14,3,1,3,6,2,8,10
10,1,0,151,43,1,5,6,6,0,127,1,16,4,7,15,21,5,2,0,7,2,0,4,1,1,0,4,1,0,0,0,0,5,10,2,0,39,12,2,3,1,6,1,32,2,5,1,1,1,10,7
7,1,0,129,37,1,4,3,12,0,155,5,6,5,3,7,18,3,0,0,11,5,0,1,0,2,0,3,0,0,0,1,0,2,9,1,2,29,7,0,0,1,2,0,27,2,6,0,2,1,11,8
8,0,0,132,34,7,14,3,18,1,131,3,9,5,3,7,21,11,0,0,7,1,0,0,2,0,0,5,0,1,2,1,1,4,11,1,0,21,9,2,0,1,4,1,29,1,2,2,2,2,9,4
4,1,0,190,38,3,4,8,9,2,136,2,13,7,6,17,21,3,0,0,6,1,0,0,0,0,0,11,0,0,1,1,0,8,9,0,1,27,5,0,2,3,2,1,34,0,2,6,2,4,18,8
8,4,0,184,42,5,11,10,10,0,114,1,18,5,6,12,26,1,0,0,10,3,0,0,1,1,0,8,2,4,0,1,0,1,5,0,0,29,9,0,2,3,2,0,18,4,2,9,0,3,17,5
5,1,0,173,39,3,10,7,15,2,82,1,16,4,9,17,31,6,1,0,5,2,0,1,0,0,0,8,0,0,1,0,0,3,15,2,3,24,8,3,1,2,2,0,30,1,5,6,0,5,20,6
6,2,0,211,37,3,5,13,11,0,49,3,14,6,6,10,27,6,1,0,7,2,2,1,1,2,0,6,0,0,1,1,0,5,22,1,0,39,4,0,5,3,2,2,12,2,3,4,2,1,22,10
10,6,1,211,37,6,11,11,10,0,50,2,15,5,2,12,32,8,0,0,8,1,0,3,0,0,0,5,0,2,0,1,0,4,12,3,2,44,15,1,1,4,1,0,5,5,8,2,1,7,16,2
2,4,0,195,37,0,7,5,6,1,84,2,22,13,3,19,24,5,0,0,16,3,0,4,1,0,0,2,0,1,0,0,3,1,23,1,5,42,13,1,5,3,3,0,11,2,8,4,5,9,21,4
4,0,1,206,43,2,4,4,14,0,84,1,26,5,6,11,27,4,0,0,11,2,0,0,0,1,0,7,0,1,0,0,1,5,24,0,0,43,9,4,1,1,2,1,7,1,7,2,2,8,22,11
11,4,1,169,32,6,5,7,10,0,151,3,14,9,5,13,22,8,0,0,16,3,0,1,1,1,0,4,0,3,1,0,2,4,32,5,1,45,17,3,4,5,3,0,26,0,11,5,4,2,26,3
3,1,0,137,47,3,9,4,5,1,116,2,12,11,4,4,26,5,0,0,12,3,1,0,2,1,0,8,0,3,5,1,0,4,19,2,2,28,13,1,0,3,3,0,15,2,9,12,2,3,21,6
6,2,2,153,42,5,4,5,7,1,101,2,28,14,5,21,21,7,0,0,29,1,0,0,1,2,0,17,1,0,1,0,1,1,11,1,3,44,14,2,0,3,3,0,22,3,4,4,1,4,16,5
5,1,0,136,35,1,8,5,9,1,107,0,21,30,2,7,35,5,0,0,17,4,2,0,0,2,0,19,0,1,1,0,0,3,12,0,1,35,11,3,1,1,1,0,26,2,5,5,3,6,10,6
6,1,0,144,41,16,7,7,8,0,118,7,10,40,6,11,33,6,1,0,14,9,1,1,0,0,0,2,0,0,1,0,0,6,5,1,2,40,11,7,2,1,2,2,26,1,5,9,2,7,21,10
10,1,0,152,35,21,11,11,9,0,130,0,29,39,2,6,17,3,1,0,23,4,1,0,0,1,0,1,0,2,0,0,0,0,33,0,1,34,12,3,1,1,3,1,18,2,5,10,0,2,10,5
5,1,0,136,0,4,8,5,9,0,97,0,7,23,2,3,7,2,1,0,15,5,1,0,0,1,0,2,0,2,0,0,1,1,23,2,1,21,0,1,2,1,0,0,17,3,2,3,1,1,4,7
7,3,0,129,17,3,4,3,7,0,73,1,14,10,0,2,10,8,1,0,20,6,0,0,1,0,0,4,0,2,1,0,3,5,26,1,2,31,6,1,3,2,3,0,8,4,7,3,1,1,11,8
