V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,hom2004
7,4,1,0,0,0,0,0,2,74,23,0,13,0,20,121,49,3,0,0,0,0,0,0,0,1,17,8,0,2,0,2,38,9,13,4,1,0,0,0,1,0,3,67,21,0,10,3,1,55,16,1,0,0,0,0,0,0,0,0,22,12,0,4,0,1,15,4,0,0,0,0,0,0,0,0,2,146,12,0,4,0,0,102,11,0,0,0,0,0,0,0,0,2,26,41,0,3,1,0,47,10,5,0,2,0,0,0,0,0,1,23,11,0,7,1,0,15,15,3
3,3,1,0,0,0,1,0,5,90,42,0,6,1,20,131,50,5,2,1,0,0,0,0,0,0,30,3,0,4,1,0,60,8,9,1,0,0,0,0,0,0,4,92,34,0,10,1,0,62,22,2,0,0,0,0,0,0,0,1,40,15,0,3,2,0,30,1,2,0,0,0,0,0,0,0,1,192,19,0,6,0,2,124,6,5,0,1,0,0,0,0,0,4,36,39,0,3,1,1,62,15,7,2,2,0,0,0,0,0,2,34,10,0,4,3,0,22,11,2
2,0,0,0,0,0,0,0,7,124,25,0,6,2,18,143,46,0,0,0,0,0,0,0,0,5,29,11,0,2,3,1,67,6,24,1,0,0,0,0,0,0,5,71,30,0,6,1,2,87,17,2,0,0,0,0,0,0,0,0,24,11,0,2,0,0,13,5,0,0,0,0,0,0,1,0,2,191,23,0,5,1,1,123,6,1,0,1,0,0,0,1,0,2,38,27,0,0,2,0,51,15,7,0,1,0,0,0,1,0,0,35,10,0,4,0,0,26,12,5
5,2,0,0,0,0,0,0,4,96,26,0,8,0,19,130,45,3,1,0,0,0,0,0,0,0,30,8,0,2,0,1,44,5,15,2,0,0,0,0,0,0,3,90,35,0,4,0,1,58,14,5,0,0,0,0,0,0,1,2,33,12,0,1,0,1,36,6,3,0,0,0,0,0,1,0,3,205,14,0,5,1,1,102,8,2,1,1,0,0,0,0,0,3,37,26,0,2,0,0,64,11,7,0,0,0,0,0,0,1,0,31,10,0,5,0,0,32,15,5
5,2,0,0,0,0,1,0,1,134,48,0,0,2,35,136,86,3,0,0,0,0,0,1,0,4,26,26,0,2,0,1,27,11,14,0,0,0,0,0,2,0,5,83,44,0,0,2,2,55,30,7,0,0,0,0,0,0,1,0,25,16,0,0,0,1,15,14,0,0,0,0,0,0,0,0,1,254,45,0,0,0,1,107,10,1,0,0,0,0,0,0,0,2,41,56,0,0,1,2,46,13,6,0,2,0,0,0,0,0,3,29,16,0,0,0,2,26,16,11
11,3,0,0,0,0,0,0,2,101,29,0,0,1,18,126,62,1,1,1,0,0,0,0,0,4,30,6,0,0,0,0,41,12,14,3,3,0,0,0,1,1,4,84,29,0,1,1,1,47,25,4,0,0,0,0,0,0,0,1,30,15,0,1,1,1,24,13,0,0,0,0,0,0,0,0,1,198,34,0,0,1,4,114,7,5,1,1,0,0,0,0,0,1,32,38,0,0,1,0,59,13,7,2,1,0,0,0,1,0,1,25,12,0,0,0,1,19,17,4
4,1,0,0,0,0,0,0,5,124,40,0,0,2,33,132,96,4,0,0,0,0,0,1,0,1,47,14,0,0,0,1,32,11,24,0,0,0,0,0,1,0,5,77,24,0,0,5,2,52,28,2,1,0,0,0,0,0,0,1,26,12,0,1,1,1,22,28,2,1,0,0,0,0,0,0,5,203,23,0,0,1,3,128,12,4,1,0,0,0,0,1,0,4,46,26,0,0,0,0,47,16,9,2,1,0,0,0,1,0,1,21,15,0,0,0,0,27,22,4
4,0,0,0,0,0,0,0,2,116,69,0,0,3,26,122,113,0,1,0,0,0,0,0,0,1,45,12,0,1,2,0,44,12,21,4,0,0,0,0,1,2,3,76,36,0,1,3,0,59,34,4,0,0,0,0,0,1,0,1,23,11,0,0,0,1,15,14,3,0,0,0,0,0,0,0,4,229,26,0,0,0,1,109,10,3,0,0,0,0,0,0,0,2,38,23,0,0,2,3,49,21,7,1,4,0,0,0,0,0,0,37,23,0,0,1,1,31,24,8
8,2,1,0,0,0,2,1,3,134,60,0,0,1,38,132,103,2,0,0,0,0,0,0,0,0,38,18,0,0,0,1,44,12,18,2,0,0,0,0,1,1,4,74,36,0,0,1,0,56,31,6,0,0,0,0,0,0,0,0,33,16,0,0,0,0,28,16,1,0,0,0,0,0,0,0,3,182,29,0,0,0,1,140,16,0,1,0,0,0,0,0,0,2,33,35,0,0,1,4,45,20,8,1,1,0,0,0,0,0,1,39,15,0,0,0,0,27,12,10
10,1,0,0,0,0,3,0,1,120,51,0,0,2,25,136,99,1,0,0,0,0,0,1,0,1,24,11,0,0,1,0,27,8,15,0,1,0,0,0,0,0,8,70,49,0,0,3,3,47,18,2,1,0,0,0,0,0,0,0,15,7,0,0,0,0,10,11,0,0,2,0,0,0,0,1,1,134,32,0,0,0,0,125,11,0,1,0,0,0,0,1,0,1,40,28,0,0,0,2,47,14,7,2,3,0,0,0,0,0,0,24,12,0,0,0,0,23,22,8
8,3,0,0,0,0,3,0,5,150,81,0,1,3,25,132,104,2,0,0,0,0,0,0,0,2,45,22,0,1,1,0,24,11,23,0,0,0,0,0,2,0,8,74,45,0,0,4,1,65,38,3,0,2,0,0,0,1,0,2,23,10,0,0,3,0,12,13,1,1,0,0,0,0,2,1,3,197,49,0,0,0,1,147,15,1,0,0,0,0,0,1,0,3,53,35,0,0,1,0,54,20,4,2,2,0,0,0,1,0,3,43,16,0,0,2,0,29,23,3
3,1,0,0,0,0,0,0,2,132,76,0,0,2,40,135,82,3,0,0,0,0,0,1,0,4,44,30,0,0,0,0,34,9,11,1,0,0,0,0,1,0,8,69,29,0,0,1,0,53,37,6,1,0,0,0,0,1,0,0,32,17,0,0,0,0,14,13,1,0,0,0,0,0,3,0,3,161,30,0,0,1,0,141,13,5,0,0,0,0,0,1,0,3,59,39,0,0,0,0,45,25,4,0,3,0,0,0,0,0,2,36,24,0,0,0,0,27,25,9
9,1,0,0,0,0,1,1,3,123,70,0,1,1,41,143,107,3,0,1,0,0,0,1,0,6,30,22,0,0,0,1,24,9,11,0,0,0,0,0,2,1,8,75,20,0,0,2,2,59,43,1,0,0,0,0,0,1,0,0,36,21,0,1,1,1,18,11,1,0,0,0,0,0,1,0,0,110,22,0,0,0,0,120,29,1,0,0,0,0,0,0,0,4,57,33,0,0,0,0,44,15,3,5,0,0,0,0,0,0,4,46,21,0,0,0,0,29,29,5
5,1,0,0,0,0,0,0,5,150,82,0,0,1,43,120,147,3,1,0,0,0,0,2,0,6,32,21,0,0,1,0,18,8,16,1,0,0,0,0,0,1,10,72,28,0,0,4,1,53,45,2,0,0,0,0,0,0,0,3,38,24,0,0,0,0,20,19,1,0,0,0,0,0,1,1,5,162,46,0,0,2,0,124,25,6,1,0,0,0,0,0,1,3,34,31,0,0,0,1,63,18,5,2,2,0,0,0,1,0,2,46,27,0,0,0,1,27,30,5
5,1,0,0,0,0,9,0,7,130,63,0,0,2,31,127,115,3,1,0,0,0,0,0,0,7,35,16,0,1,1,2,19,19,11,2,0,0,0,0,1,0,8,76,35,0,0,0,0,43,40,4,0,0,0,0,0,0,0,2,25,5,0,0,1,0,20,22,1,0,0,0,0,0,0,0,2,160,30,0,0,0,2,115,18,2,2,0,0,0,0,4,0,7,47,42,0,0,0,0,47,18,9,2,5,0,0,0,0,0,2,44,14,0,0,0,1,30,27,8
8,4,0,0,0,0,6,1,2,128,60,0,0,2,37,135,95,3,1,0,0,0,0,1,0,4,30,36,0,0,2,1,17,12,24,5,0,0,0,0,2,0,8,62,44,0,0,1,2,57,28,4,1,0,0,0,0,0,0,0,25,26,0,0,1,0,18,14,0,1,0,0,0,0,0,0,0,163,21,0,0,1,1,151,17,7,2,0,0,0,0,0,0,2,34,65,0,1,0,1,59,14,7,0,0,0,0,0,0,0,4,34,21,0,0,1,0,41,17,4
4,1,0,0,0,0,2,0,6,148,62,0,2,4,25,131,98,3,0,0,0,0,0,0,0,3,33,33,0,0,0,2,21,7,18,0,0,0,0,0,0,0,5,76,55,0,0,1,2,49,45,6,0,0,0,0,0,2,0,2,49,60,0,0,1,1,26,15,2,0,0,0,0,0,0,0,3,162,44,0,0,2,1,162,18,3,0,0,0,0,0,1,0,6,44,82,0,0,2,0,49,46,8,0,0,0,0,0,1,0,5,46,34,0,0,0,0,23,24,4
4,2,0,0,0,0,7,0,5,130,55,0,1,5,24,119,99,1,0,0,0,0,0,0,0,6,48,33,0,0,3,0,19,13,12,0,0,0,0,0,2,2,10,59,71,0,1,4,3,43,43,3,1,0,0,0,0,0,0,5,41,56,0,0,0,0,23,11,1,0,0,0,0,0,1,0,4,139,26,0,0,0,1,106,24,7,1,0,0,0,0,2,0,7,33,94,0,0,2,0,41,13,4,2,0,0,0,0,2,0,4,42,35,0,0,2,0,17,13,10
10,1,0,0,0,0,3,0,3,140,46,0,1,4,35,133,127,7,0,0,0,0,0,0,0,7,25,28,0,0,0,0,23,8,16,4,0,0,0,0,1,0,9,95,63,0,0,5,1,62,28,2,1,0,0,0,0,0,0,1,35,43,0,0,2,1,16,17,1,0,0,0,0,0,0,0,3,153,23,0,0,0,1,129,17,3,0,0,0,0,0,5,1,5,47,69,0,0,2,2,57,17,12,4,0,0,0,0,1,0,3,36,39,0,0,2,2,13,24,10
10,2,0,0,0,0,5,0,4,141,42,0,0,8,41,125,99,5,1,0,0,0,0,0,0,5,38,21,0,0,2,0,22,12,13,0,0,0,0,0,0,0,10,66,56,0,0,4,0,50,32,2,1,0,0,0,0,2,0,0,33,53,0,0,0,0,18,18,2,0,0,0,0,0,2,0,2,135,18,0,0,1,2,84,22,2,0,0,0,0,0,1,0,2,36,50,0,0,1,1,43,30,5,0,0,0,0,0,0,0,4,34,30,0,0,3,2,26,25,10
10,3,0,0,0,0,6,1,6,117,38,0,0,6,40,106,107,0,0,0,0,0,0,0,0,4,27,21,0,0,3,0,23,19,26,2,0,0,0,0,1,0,11,58,46,0,0,5,1,45,49,3,1,0,0,0,0,0,0,1,24,32,0,0,0,0,23,19,0,1,0,0,0,0,0,0,5,162,24,0,0,1,2,125,23,6,0,0,0,0,0,3,1,3,36,41,0,0,2,2,50,20,9,0,0,0,0,0,0,1,3,44,27,0,0,1,1,14,24,8
8,0,0,0,0,0,2,0,6,109,57,0,0,2,24,111,122,1,0,0,0,0,0,2,1,1,21,15,0,0,1,3,15,22,15,1,0,0,0,0,4,1,6,54,57,0,0,3,0,43,52,0,0,0,0,0,0,2,0,1,43,23,0,0,1,0,18,10,1,0,0,0,0,0,1,0,2,136,20,0,0,0,2,133,29,2,0,0,0,0,0,0,0,2,48,82,0,0,1,1,49,24,5,0,0,0,0,0,1,1,2,42,38,0,0,0,0,19,27,15
15,2,0,0,0,0,2,0,5,118,64,0,1,4,51,132,124,4,0,0,0,0,0,0,0,5,26,20,0,0,1,0,24,18,16,0,0,0,0,0,3,1,7,60,55,0,0,3,3,55,46,1,0,0,0,0,0,0,0,6,29,30,0,0,2,0,12,18,1,0,0,0,0,0,2,0,4,134,22,0,0,1,2,106,24,3,0,0,0,0,0,3,0,6,44,54,0,0,1,3,43,21,5,0,0,0,0,0,2,1,2,37,35,0,1,1,1,22,26,5
5,2,0,0,0,0,3,1,3,132,43,0,0,7,25,99,128,3,0,0,0,0,0,3,0,5,33,27,0,0,0,1,28,30,14,1,0,0,0,0,2,0,6,54,49,0,0,3,1,36,38,2,0,0,0,0,0,0,0,3,28,22,0,0,0,0,12,17,0,0,0,0,0,0,3,1,8,118,24,0,0,1,3,105,22,2,0,0,0,0,0,2,0,4,56,37,0,0,1,1,44,28,4,0,0,0,0,0,3,1,3,33,31,0,0,1,1,21,35,5
