V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,hom2004
17,2,0,52,13,4,0,5,6,2,24,3,7,3,4,3,16,4,4,0,204,47,4,11,4,14,0,129,4,17,9,9,18,15,7,0,0,12,4,1,1,1,0,0,28,0,5,0,1,1,5,136,5,0,216,68,5,15,15,20,1,171,0,10,14,3,10,77,9,0,0,14,5,0,1,0,3,0,5,2,2,0,0,1,10,14
14,3,0,60,5,2,2,3,4,0,26,1,5,4,1,3,16,4,0,0,229,44,2,8,7,13,3,112,4,15,7,3,3,21,6,2,0,11,7,0,0,1,2,0,13,0,1,1,0,2,4,135,8,0,186,84,2,16,14,10,3,171,0,15,10,2,12,56,6,0,1,15,1,2,0,1,1,0,11,0,1,0,1,1,7,20
20,4,2,45,8,0,0,4,6,0,18,5,4,1,2,2,13,6,1,0,227,46,3,3,5,11,0,126,2,21,4,4,7,35,2,2,0,11,3,2,0,1,1,0,16,0,0,2,0,0,4,145,13,0,178,65,6,15,22,15,1,163,0,14,11,4,9,65,13,1,0,13,0,0,0,3,2,0,6,0,1,2,0,0,3,17
17,2,1,51,10,3,1,1,6,1,14,3,1,3,6,2,8,8,3,0,173,44,4,7,3,14,2,113,2,15,3,3,17,29,12,1,0,8,3,0,0,1,2,0,5,0,0,0,1,1,1,160,7,0,151,60,6,12,11,11,0,178,1,16,11,4,20,46,12,2,0,9,0,0,0,1,3,0,4,0,0,1,0,0,4,10
10,2,0,39,12,2,3,1,6,1,32,2,5,1,1,1,10,10,1,0,151,43,1,5,6,6,0,127,1,16,4,7,15,21,5,2,0,7,2,0,4,1,1,0,4,1,0,0,0,0,5,149,4,0,160,63,2,14,10,15,4,174,0,6,7,2,3,44,7,0,0,7,3,1,1,0,2,0,10,0,0,1,0,0,2,9
9,1,2,29,7,0,0,1,2,0,27,2,6,0,2,1,11,7,1,0,129,37,1,4,3,12,0,155,5,6,5,3,7,18,3,0,0,11,5,0,1,0,2,0,3,0,0,0,1,0,2,157,6,0,146,74,4,20,6,14,1,231,0,12,6,3,6,47,7,0,0,9,1,1,1,0,2,0,11,0,0,0,0,0,8,11
11,1,0,21,9,2,0,1,4,1,29,1,2,2,2,2,9,8,0,0,132,34,7,14,3,18,1,131,3,9,5,3,7,21,11,0,0,7,1,0,0,2,0,0,5,0,1,2,1,1,4,91,10,0,98,59,5,13,9,3,3,116,0,8,5,0,11,41,4,0,0,16,1,0,0,2,5,0,13,0,2,0,0,0,3,9
9,0,1,27,5,0,2,3,2,1,34,0,2,6,2,4,18,4,1,0,190,38,3,4,8,9,2,136,2,13,7,6,17,21,3,0,0,6,1,0,0,0,0,0,11,0,0,1,1,0,8,107,8,0,126,61,2,13,19,13,6,122,0,13,14,2,14,61,9,0,2,11,1,0,0,0,2,0,11,0,2,0,1,0,2,5
5,0,0,29,9,0,2,3,2,0,18,4,2,9,0,3,17,8,4,0,184,42,5,11,10,10,0,114,1,18,5,6,12,26,1,0,0,10,3,0,0,1,1,0,8,2,4,0,1,0,1,113,11,0,140,63,4,13,12,9,3,191,0,10,5,4,14,48,5,0,0,17,3,1,1,0,1,0,4,0,0,0,0,0,9,15
15,2,3,24,8,3,1,2,2,0,30,1,5,6,0,5,20,5,1,0,173,39,3,10,7,15,2,82,1,16,4,9,17,31,6,1,0,5,2,0,1,0,0,0,8,0,0,1,0,0,3,133,7,0,143,72,5,25,13,8,1,255,0,11,6,6,12,50,14,0,0,17,0,0,1,1,0,1,15,1,2,2,1,2,7,22
