V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,V52,V53,V54,V55,V56,V57,V58,V59,V60,V61,V62,V63,V64,V65,V66,V67,V68,V69,V70,V71,V72,V73,V74,V75,V76,V77,V78,V79,V80,V81,V82,V83,V84,V85,V86,V87,V88,V89,V90,V91,V92,V93,V94,V95,V96,V97,V98,V99,V100,V101,V102,V103,V104,V105,V106,V107,V108,V109,V110,V111,V112,V113,V114,V115,V116,V117,V118,V119,V120,V121,V122,V123,V124,V125,V126,V127,V128,V129,V130,V131,V132,V133,V134,V135,V136,V137,V138,V139,V140,V141,V142,V143,V144,V145,V146,V147,V148,V149,V150,V151,V152,V153,V154,V155,V156,V157,V158,V159,V160,V161,V162,V163,V164,V165,V166,V167,V168,V169,V170,hom2004
15,3,1,12,1,0,0,3,12,91,196,0,23,2,1,14,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,16,4,0,18,0,1,0,3,37,192,284,0,50,5,6,29,59,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,3,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,12,4,0,5,0,0,0,4,9,23,78,0,6,0,0,5,3,7,2,0,4,1,0,0,0,4,20,115,3,14,0,0,5,7,6
6,3,0,5,3,1,0,0,17,62,200,1,10,3,1,8,13,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,17,4,0,6,5,2,0,4,20,145,339,0,28,8,4,23,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,7,1,0,6,2,0,0,0,5,7,119,2,6,2,0,0,9,6,0,0,5,3,0,0,2,4,17,124,0,5,4,1,1,6,11
11,4,0,8,3,3,0,2,15,49,208,1,11,3,0,10,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,26,1,0,13,3,5,0,4,29,135,419,0,41,2,6,26,41,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,5,1,1,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,2,0,5,1,0,0,1,4,7,106,0,5,0,1,2,5,20,2,0,5,1,0,0,3,2,9,138,0,12,2,0,2,7,7
7,1,0,8,3,1,0,2,9,46,200,0,14,2,1,7,8,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,5,0,13,6,2,0,3,22,110,414,0,30,3,6,23,35,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,3,4,0,0,0,5,13,101,0,7,1,0,5,2,15,0,0,4,2,0,0,1,4,18,116,1,9,2,0,4,9,6
6,4,0,6,6,1,0,3,9,36,196,1,18,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,3,0,17,6,1,0,4,21,93,411,0,23,4,2,18,34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,10,4,0,6,0,0,0,0,4,19,121,2,6,0,0,5,2,15,3,0,6,4,0,0,0,3,6,115,0,8,0,1,3,4,9
9,0,0,4,1,0,1,1,15,36,183,0,21,2,3,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,25,1,0,9,1,0,0,3,17,120,402,0,23,10,3,11,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,4,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,3,3,0,6,3,0,1,4,6,57,96,0,8,0,0,3,0,14,0,0,3,0,0,0,1,5,13,136,0,9,2,0,1,0,10
10,0,0,4,0,0,0,2,10,35,161,1,19,2,5,9,11,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,2,0,11,6,1,0,0,22,117,375,0,31,3,8,31,35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,6,4,0,6,0,0,0,0,7,32,109,0,11,0,0,6,6,18,1,0,1,1,0,0,0,2,9,135,0,9,0,0,7,4,9
9,1,0,1,0,0,0,1,4,40,208,2,17,1,3,16,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,33,2,1,0,3,3,0,4,17,134,397,0,31,7,12,23,43,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,3,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,14,3,0,0,0,2,0,2,2,18,96,2,7,1,0,3,5,12,0,1,0,0,0,0,1,2,11,129,0,16,4,0,6,10,16
16,5,0,3,0,2,0,3,13,29,155,1,19,0,2,15,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,2,0,7,1,3,0,3,10,96,284,0,30,4,7,22,42,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,2,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,5,1,0,0,2,5,14,95,0,5,1,0,2,4,25,2,0,1,1,0,0,0,0,18,118,0,8,2,0,5,7,10
10,1,0,2,3,1,0,4,11,40,173,2,16,0,4,7,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,24,2,1,7,9,4,0,8,16,96,375,1,35,6,3,29,37,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,13,2,0,5,1,0,0,1,3,2,120,1,7,0,1,5,4,12,1,0,3,1,0,0,1,7,9,138,0,7,0,0,3,2,3
