V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,V16,V17,V18,V19,V20,V21,V22,V23,V24,V25,V26,V27,V28,V29,V30,V31,V32,V33,V34,V35,V36,V37,V38,V39,V40,V41,V42,V43,V44,V45,V46,V47,V48,V49,V50,V51,hom2004
9,0,1,9,6,1,0,0,3,1,8,0,1,0,0,0,2,101,9,0,238,87,7,14,12,13,3,306,0,13,7,3,19,75,7,0,4,52,14,1,0,0,0,0,9,6,2,6,4,2,7,4
4,0,1,7,0,0,0,0,2,0,7,1,1,0,1,1,3,103,6,0,219,92,5,8,13,8,1,274,0,13,4,4,10,41,10,2,2,45,15,0,3,2,6,0,9,6,4,0,2,5,12,4
4,0,0,12,4,0,0,1,2,0,6,0,0,0,0,0,1,121,10,0,199,82,2,12,7,12,4,286,0,6,2,1,6,53,15,0,3,39,3,0,3,0,6,0,16,3,4,3,3,0,5,5
5,0,0,5,4,0,0,0,2,1,6,2,0,1,0,0,5,112,8,0,184,63,0,13,8,19,7,149,0,12,12,3,7,41,13,1,0,34,5,0,0,1,4,0,15,2,2,2,3,4,12,5
5,3,0,11,3,1,1,0,1,0,7,2,1,2,0,0,7,119,11,0,214,73,7,7,10,13,9,224,1,10,7,4,13,76,9,1,0,44,8,2,2,1,9,2,16,3,6,4,4,6,22,2
2,0,0,13,2,0,1,1,3,0,8,1,0,1,0,0,4,145,10,0,220,81,4,19,8,14,9,220,1,14,7,6,14,53,14,0,0,43,10,2,3,1,1,3,13,2,5,1,2,2,9,2
2,0,0,6,0,0,0,0,3,0,8,0,0,0,0,1,7,142,12,0,214,71,4,16,12,17,9,222,2,24,12,3,11,56,15,3,0,59,12,0,0,2,2,0,24,3,7,4,3,1,23,3
3,1,0,11,2,0,0,0,1,0,6,0,2,0,0,1,1,144,5,0,217,53,6,25,16,13,4,200,0,15,15,1,11,51,8,2,0,54,11,0,1,3,1,2,16,3,8,7,4,6,22,9
9,1,0,12,6,0,1,1,0,0,2,0,0,0,0,0,6,165,11,0,239,65,3,19,16,16,4,136,1,16,12,5,19,55,10,0,1,64,15,1,3,4,6,0,21,7,5,3,3,3,15,9
9,0,0,14,5,0,1,0,3,0,5,2,2,0,0,1,10,136,5,0,216,68,5,15,15,20,1,171,0,10,14,3,10,77,17,2,0,52,13,4,0,5,6,2,24,3,7,3,4,3,16,6
6,0,1,15,1,2,0,1,1,0,11,0,1,0,1,1,7,135,8,0,186,84,2,16,14,10,3,171,0,15,10,2,12,56,14,3,0,60,5,2,2,3,4,0,26,1,5,4,1,3,16,13
13,1,0,13,0,0,0,3,2,0,6,0,1,2,0,0,3,145,13,0,178,65,6,15,22,15,1,163,0,14,11,4,9,65,20,4,2,45,8,0,0,4,6,0,18,5,4,1,2,2,13,12
12,2,0,9,0,0,0,1,3,0,4,0,0,1,0,0,4,160,7,0,151,60,6,12,11,11,0,178,1,16,11,4,20,46,17,2,1,51,10,3,1,1,6,1,14,3,1,3,6,2,8,7
7,0,0,7,3,1,1,0,2,0,10,0,0,1,0,0,2,149,4,0,160,63,2,14,10,15,4,174,0,6,7,2,3,44,10,2,0,39,12,2,3,1,6,1,32,2,5,1,1,1,10,7
7,0,0,9,1,1,1,0,2,0,11,0,0,0,0,0,8,157,6,0,146,74,4,20,6,14,1,231,0,12,6,3,6,47,9,1,2,29,7,0,0,1,2,0,27,2,6,0,2,1,11,4
4,0,0,16,1,0,0,2,5,0,13,0,2,0,0,0,3,91,10,0,98,59,5,13,9,3,3,116,0,8,5,0,11,41,11,1,0,21,9,2,0,1,4,1,29,1,2,2,2,2,9,9
9,0,2,11,1,0,0,0,2,0,11,0,2,0,1,0,2,107,8,0,126,61,2,13,19,13,6,122,0,13,14,2,14,61,9,0,1,27,5,0,2,3,2,1,34,0,2,6,2,4,18,5
5,0,0,17,3,1,1,0,1,0,4,0,0,0,0,0,9,113,11,0,140,63,4,13,12,9,3,191,0,10,5,4,14,48,5,0,0,29,9,0,2,3,2,0,18,4,2,9,0,3,17,14
14,0,0,17,0,0,1,1,0,1,15,1,2,2,1,2,7,133,7,0,143,72,5,25,13,8,1,255,0,11,6,6,12,50,15,2,3,24,8,3,1,2,2,0,30,1,5,6,0,5,20,6
6,0,0,21,4,1,0,0,1,0,15,0,0,0,0,1,5,136,7,0,153,53,5,17,14,14,3,251,0,15,5,7,9,48,22,1,0,39,4,0,5,3,2,2,12,2,3,4,2,1,22,9
9,2,1,26,4,1,0,0,1,0,14,0,0,0,1,0,5,161,8,0,222,64,8,19,4,16,2,225,1,19,8,4,13,64,12,3,2,44,15,1,1,4,1,0,5,5,8,2,1,7,16,16
16,1,1,10,5,2,1,0,1,0,20,0,1,0,0,1,3,134,8,0,188,61,9,23,9,13,3,189,2,16,8,5,21,77,23,1,5,42,13,1,5,3,3,0,11,2,8,4,5,9,21,6
6,0,0,14,4,0,1,0,2,0,14,0,2,0,0,1,4,125,6,0,218,47,7,28,10,20,2,152,1,15,13,7,14,66,24,0,0,43,9,4,1,1,2,1,7,1,7,2,2,8,22,8
8,0,1,17,5,0,0,1,1,0,4,0,3,1,0,0,3,97,6,1,216,97,6,19,21,16,2,192,0,22,9,0,131,67,32,5,1,45,17,3,4,5,3,0,26,0,11,5,4,2,26,11
11,2,1,12,1,3,1,0,1,0,13,0,1,5,0,0,2,100,11,0,181,95,4,11,12,7,4,252,0,16,17,6,16,60,19,2,2,28,13,1,0,3,3,0,15,2,9,12,2,3,21,7
7,0,0,25,4,0,0,0,0,0,17,1,1,1,0,0,6,91,8,1,177,118,8,9,10,11,1,166,0,15,13,2,7,43,11,1,3,44,14,2,0,3,3,0,22,3,4,4,1,4,16,2
2,0,0,7,1,2,2,1,2,0,7,0,3,4,0,0,3,122,9,1,139,79,2,23,14,14,4,199,2,10,19,4,13,38,12,0,1,35,11,3,1,1,1,0,26,2,5,5,3,6,10,5
5,1,0,10,5,1,0,1,2,0,12,0,2,1,1,0,5,95,8,1,148,74,11,20,7,13,4,168,0,9,31,7,9,36,5,1,2,40,11,7,2,1,2,2,26,1,5,9,2,7,21,10
10,3,0,11,2,0,1,0,3,0,10,0,2,1,0,1,3,114,8,1,148,67,12,21,10,16,8,240,0,16,29,1,21,44,33,0,1,34,12,3,1,1,3,1,18,2,5,10,0,2,10,20
20,1,0,10,1,0,1,0,1,0,8,0,0,1,0,0,2,129,9,1,86,31,1,13,6,6,3,109,0,11,24,0,7,25,23,2,1,21,0,1,2,1,0,0,17,3,2,3,1,1,4,15
15,2,0,19,2,1,0,1,2,0,3,0,0,1,0,0,5,121,9,0,109,17,3,6,7,12,7,156,0,14,19,0,1,48,26,1,2,31,6,1,3,2,3,0,8,4,7,3,1,1,11,8
